"lifeform","Aridity","Bio06","Bio02","Bio15","Mid_domain","Prec_stab","Temp_stab","Topo_het","Lat_EV","Long_EV","AIC","twologlik","Moran_I","rmse"
"All","Q","L","Q","Q","L","Q","Q","L","L","L",309613,-309579.1,0.07,211.9
"Tree","Q","L","Q","Q","L","Q","L","L","L","L",237036,-237004,0.08,53.7
"Liana","Q","Q","Q","Q","L","Q","L","L","L","Q",217408,-217371.9,0.08,31.2
"Shrub","Q","Q","Q","Q","L","L","Q","L","L","Q",225336,-225300.4,0.07,39.7
"Subshrub","Q","Q","Q","Q","L","Q","Q","L","L","Q",198067,-198029.1,0.06,21
"Herb","Q","Q","Q","Q","L","Q","Q","L","L","L",267655,-267618.8,0.06,87.8
"Bamboo","Q","Q","Q","Q","L","Q","L","L","L","Q",104391,-104355.4,0.06,2.9
"Palm_tree","Q","Q","Q","Q","L","Q","Q","L","L","L",89527,-89491.3,0.06,2
