"lifeForm","Formula","AIC","dAIC","twologlik","Moran_I","rmse"
"All","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio02^2) + I(Bio15^2) + I(Prec_stab^2) + I(Temp_stab^2)",309613.092072177,0,-309579.092072177,0.070047356136837,211.940506485984
"Bamboo","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio06^2) + I(Bio02^2) + I(Bio15^2) + I(Prec_stab^2) + I(Long_EV^2)",104391.410266282,0,-104355.410266282,0.0632578080122133,2.92512734415953
"Herb","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio06^2) + I(Bio02^2) + I(Bio15^2) + I(Prec_stab^2) + I(Temp_stab^2)",267654.816456691,0,-267618.816456691,0.0632229782871905,87.8050858988744
"Liana","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio06^2) + I(Bio02^2) + I(Bio15^2) + I(Prec_stab^2) + I(Long_EV^2)",217407.884008401,0,-217371.884008401,0.0788436791286222,31.2450942754381
"Palm_tree","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio06^2) + I(Bio02^2) + I(Bio15^2) + I(Prec_stab^2) + I(Temp_stab^2)",89527.3362393365,0,-89491.3362393365,0.0641903255856708,1.95967977744658
"Shrub","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio06^2) + I(Bio02^2) + I(Bio15^2) + I(Temp_stab^2) + I(Long_EV^2)",225336.390909428,0,-225300.390909428,0.0720944391380734,39.7451283451908
"Subshrub","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio06^2) + I(Bio02^2) + I(Bio15^2) + I(Prec_stab^2) + I(Temp_stab^2) + I(Long_EV^2)",198067.09156087,0,-198029.09156087,0.0622091329595932,20.9894891736962
"Tree","Richness ~ Aridity + Bio06 + Bio02 + Bio15 + Mid_domain + Prec_stab + Temp_stab + Topo_het + Lat_EV + Long_EV + I(Aridity^2) + I(Bio02^2) + I(Bio15^2) + I(Prec_stab^2)",237035.994668101,0,-237003.994668101,0.0809821095538013,53.6607156459784
